Global frequency set at 1000000000 ticks per second
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 25.1.0.0
gem5 compiled Apr 25 2026 16:27:12
gem5 started Apr 25 2026 16:35:54
gem5 executing on DESKTOP-D0O9BA6, pid 115351
command line: ./build/X86/gem5.opt --debug-flags=ProtocolTrace configs/example/verify_map_table.py --ruby --num-cpus=4 --l1d_size=256B --l1i_size=256B --l2_size=512B --maxloads=500000

            727   0    L1Cache      L1_Replacement     IM>IM     [0x440, line 0x440] 
            741   0        Seq               Begin       >       [0x32e8, line 0x32c0] ST
            742   0    L0Cache               Store      I>IM     [0x32c0, line 0x32c0] 
            746   0    L1Cache      L1_Replacement     IM>IM     [0x440, line 0x440] 
            814   2    L1Cache       Data_all_Acks     IM>M      [0x34c0, line 0x34c0] 
            814   2    L1Cache      L1_Replacement     MM>M_I    [0x3c0, line 0x3c0] 
            814   2    L1Cache               Store      I>IM     [0x12c0, line 0x12c0] 
            814   2    L1Cache   L0_Invalidate_Own      M>M_IL0  [0x34c0, line 0x34c0] 
            814   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x34c0, line 0x34c0] 
            814   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x34c0, line 0x34c0] 
            814   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x34c0, line 0x34c0] 
            814   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x34c0, line 0x34c0] 
            814   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x34c0, line 0x34c0] 
            814   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x34c0, line 0x34c0] 
            814   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x34c0, line 0x34c0] 
            814   2    L1Cache   L0_Invalidate_Own  M_IL0>M_IL0  [0x34c0, line 0x34c0] 
            818   2        Seq                Done       >       [0x34e8, line 0x34c0] 797 cycles
            818   2    L0Cache      Data_Exclusive     IM>M      [0x34c0, line 0x34c0] 
            818   2    L0Cache      L0_Replacement      M>I      [0x34c0, line 0x34c0] 
            818   2    L0Cache               Store      I>IM     [0x14c0, line 0x14c0] 
            821   2    L0Cache              InvOwn      I>I      [0x34c0, line 0x34c0] 
            821   2    L1Cache           WriteBack  M_IL0>MM_IL0 [0x34c0, line 0x34c0] 
            821   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x34c0, line 0x34c0] 
            821   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x34c0, line 0x34c0] 
            821   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x34c0, line 0x34c0] 
            821   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x34c0, line 0x34c0] 
            821   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x34c0, line 0x34c0] 
            821   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x34c0, line 0x34c0] 
            821   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x34c0, line 0x34c0] 
            821   2    L1Cache      L1_Replacement MM_IL0>MM_IL0 [0x34c0, line 0x34c0] 
            821   2        Seq               Begin       >       [0x408, line 0x400] ST
            825   2    L0Cache               Store      I>IM     [0x400, line 0x400] 
            831   0        Seq               Begin       >       [0x9ec, line 0x9c0] ST
