Date,Close/Last,Volume,Open,High,Low
05/01/2026,720.65,43049850,721.25,724.87,720.47
04/30/2026,718.66,67240950,714.63,719.79,710.445
04/29/2026,711.58,41859230,711.00,712.20,708.37
04/28/2026,711.69,43117440,711.815,712.88,709.25
04/27/2026,715.17,33135940,713.17,715.63,712.295
04/24/2026,713.94,45181960,710.75,714.47,709.01
04/23/2026,708.45,56173990,709.50,712.3598,702.2803
04/22/2026,711.21,42518500,709.15,711.45,708.22
04/21/2026,704.08,58941380,710.28,711.275,702.64
04/20/2026,710.14,N/A,710.14,710.14,710.14
04/17/2026,710.14,9999999,706.14,712.39,705.76
04/16/2026,701.66,49972360,701.06,702.78,698.53
04/15/2026,699.94,58240380,695.26,700.28,694.20
04/14/2026,694.46,63480530,687.69,694.58,687.66
04/13/2026,686.10,54185820,677.41,686.30,676.58
04/10/2026,679.46,42253460,681.32,682.03,678.45
04/09/2026,679.91,57134450,674.84,681.16,673.77
04/08/2026,676.01,93606110,676.39,677.08,671.46
04/07/2026,659.22,69980360,656.65,659.61,651.06
04/06/2026,658.93,39105760,655.86,659.72,655.52
04/02/2026,655.83,68358710,646.42,658.20,645.11
04/01/2026,655.24,97841470,653.90,658.52,653.00
03/31/2026,650.34,152534100,638.94,651.54,637.98
03/30/2026,631.97,99275850,640.11,640.37,629.28
03/27/2026,634.09,103649400,642.50,642.66,633.105
03/26/2026,645.09,96494380,652.06,654.85,644.82
03/25/2026,656.82,90653790,658.67,660.89,654.24
03/24/2026,653.18,96457480,651.32,657.03,649.88
03/23/2026,655.38,134802700,658.07,662.615,653.94
03/20/2026,648.57,163617500,656.51,656.69,644.72
03/19/2026,659.80,111272500,656.97,662.98,655.17
03/18/2026,661.43,82062580,668.36,669.72,661.19
03/17/2026,670.79,87128040,672.39,674.44,669.70
03/16/2026,669.03,82023130,668.38,672.07,667.12
03/13/2026,662.29,97200240,669.27,672.335,661.36
03/12/2026,666.06,108882200,671.16,671.65,665.87
03/11/2026,676.33,68441670,677.58,680.08,673.34
03/10/2026,677.18,81505320,677.72,683.36,674.76
03/09/2026,678.27,102667700,666.39,679.92,662.39
